year,month,Symbol,Closing,Date,MAX
17,07,ARPT,4508.33265,17/07,4692.728515789473
17,08,ARPT,4534.360349999999,17/08,4692.728515789473
17,09,ARPT,4262.9688444444455,17/09,4692.728515789473
17,10,ARPT,4477.37642631579,17/10,4692.728515789473
17,11,ARPT,4464.909090909091,17/11,4692.728515789473
17,12,ARPT,4205.0952380952385,17/12,4692.728515789473
18,01,ARPT,4349.260869565217,18/01,4692.728515789473
18,02,ARPT,4194.6875,18/02,4692.728515789473
13,02,BEZQ,268.98095,13/02,754.394559090909
13,03,BEZQ,276.1457333333334,13/03,754.394559090909
13,04,BEZQ,299.3936999999999,13/04,754.394559090909
13,05,BEZQ,290.47060999999997,13/05,754.394559090909
13,06,BEZQ,304.92899047619045,13/06,754.394559090909
13,07,BEZQ,335.5099363636363,13/07,754.394559090909
13,08,BEZQ,373.9447380952381,13/08,754.394559090909
13,09,BEZQ,404.78147499999994,13/09,754.394559090909
13,10,BEZQ,446.26754782608697,13/10,754.394559090909
13,11,BEZQ,428.88955999999996,13/11,754.394559090909
13,12,BEZQ,419.6444,13/12,754.394559090909
14,01,BEZQ,394.34365909090906,14/01,754.394559090909
14,02,BEZQ,394.482685,14/02,754.394559090909
14,03,BEZQ,408.3234142857142,14/03,754.394559090909
14,04,BEZQ,447.9157333333333,14/04,754.394559090909
14,05,BEZQ,459.64474736842095,14/05,754.394559090909
14,06,BEZQ,458.375425,14/06,754.394559090909
14,07,BEZQ,463.2623086956521,14/07,754.394559090909
14,08,BEZQ,476.52904,14/08,754.394559090909
14,09,BEZQ,504.82801500000005,14/09,754.394559090909
14,10,BEZQ,512.5519611111109,14/10,754.394559090909
14,11,BEZQ,513.3285333333334,14/11,754.394559090909
14,12,BEZQ,553.3238086956521,14/12,754.394559090909
15,01,BEZQ,514.4596809523808,15/01,754.394559090909
15,02,BEZQ,515.155105,15/02,754.394559090909
15,03,BEZQ,545.2779952380954,15/03,754.394559090909
15,04,BEZQ,584.4713789473685,15/04,754.394559090909
15,05,BEZQ,546.1808800000001,15/05,754.394559090909
15,06,BEZQ,549.1575227272729,15/06,754.394559090909
15,07,BEZQ,564.3503809523811,15/07,754.394559090909
15,08,BEZQ,596.9160090909091,15/08,754.394559090909
15,09,BEZQ,617.8525666666667,15/09,754.394559090909
15,10,BEZQ,668.124857894737,15/10,754.394559090909
